,0,1
0,0,0
1,1,0
2,2,0
3,3,0
4,4,528
5,5,528
6,6,528
7,7,528
8,8,4
9,9,4
10,10,0
11,11,0
12,12,532
13,13,532
14,14,528
15,15,528
16,16,12
17,17,12
18,18,8
19,19,8
20,20,540
21,21,540
22,22,536
23,23,536
24,24,12
25,25,12
26,26,12
27,27,12
28,28,540
29,29,540
30,30,540
31,31,540
32,32,552
33,33,552
34,34,552
35,35,552
36,36,568
37,37,568
38,38,568
39,39,568
40,40,556
41,41,556
42,42,552
43,43,552
44,44,572
45,45,572
46,46,568
47,47,568
48,48,556
49,49,556
50,50,552
51,51,552
52,52,572
53,53,572
54,54,568
55,55,568
56,56,556
57,57,556
58,58,556
59,59,556
60,60,572
61,61,572
62,62,572
63,63,572
64,64,0
65,65,0
66,66,0
67,67,0
68,68,528
69,69,528
70,70,528
71,71,528
72,72,4
73,73,4
74,74,0
75,75,0
76,76,532
77,77,532
78,78,528
79,79,528
80,80,12
81,81,12
82,82,8
83,83,8
84,84,540
85,85,540
86,86,536
87,87,536
88,88,12
89,89,12
90,90,12
91,91,12
92,92,540
93,93,540
94,94,540
95,95,540
96,96,552
97,97,552
98,98,552
99,99,552
100,100,568
101,101,568
102,102,568
103,103,568
104,104,556
105,105,556
106,106,552
107,107,552
108,108,572
109,109,572
110,110,568
111,111,568
112,112,556
113,113,556
114,114,552
115,115,552
116,116,572
117,117,572
118,118,568
119,119,568
120,120,556
121,121,556
122,122,556
123,123,556
124,124,572
125,125,572
126,126,572
127,127,572
128,128,64
129,129,64
130,130,64
131,131,64
132,132,592
133,133,592
134,134,592
135,135,592
136,136,68
137,137,68
138,138,64
139,139,64
140,140,596
141,141,596
142,142,592
143,143,592
144,144,76
145,145,76
146,146,72
147,147,72
148,148,604
149,149,604
150,150,600
151,151,600
152,152,76
153,153,76
154,154,76
155,155,76
156,156,604
157,157,604
158,158,604
159,159,604
160,160,552
161,161,552
162,162,552
163,163,552
164,164,568
165,165,568
166,166,568
167,167,568
168,168,556
169,169,556
170,170,552
171,171,552
172,172,572
173,173,572
174,174,568
175,175,568
176,176,556
177,177,556
178,178,552
179,179,552
180,180,572
181,181,572
182,182,568
183,183,568
184,184,556
185,185,556
186,186,556
187,187,556
188,188,572
189,189,572
190,190,572
191,191,572
192,192,64
193,193,64
194,194,64
195,195,64
196,196,592
197,197,592
198,198,592
199,199,592
200,200,68
201,201,68
202,202,64
203,203,64
204,204,596
205,205,596
206,206,592
207,207,592
208,208,76
209,209,76
210,210,72
211,211,72
212,212,604
213,213,604
214,214,600
215,215,600
216,216,76
217,217,76
218,218,76
219,219,76
220,220,604
221,221,604
222,222,604
223,223,604
224,224,552
225,225,552
226,226,552
227,227,552
228,228,568
229,229,568
230,230,568
231,231,568
232,232,556
233,233,556
234,234,552
235,235,552
236,236,572
237,237,572
238,238,568
239,239,568
240,240,556
241,241,556
242,242,552
243,243,552
244,244,572
245,245,572
246,246,568
247,247,568
248,248,556
249,249,556
250,250,556
251,251,556
252,252,572
253,253,572
254,254,572
255,255,572
256,256,0
257,257,0
258,258,0
259,259,0
260,260,528
261,261,528
262,262,528
263,263,528
264,264,4
265,265,4
266,266,0
267,267,0
268,268,532
269,269,532
270,270,528
271,271,528
272,272,12
273,273,12
274,274,8
275,275,8
276,276,540
277,277,540
278,278,536
279,279,536
280,280,12
281,281,12
282,282,12
283,283,12
284,284,540
285,285,540
286,286,540
287,287,540
288,288,552
289,289,552
290,290,552
291,291,552
292,292,568
293,293,568
294,294,568
295,295,568
296,296,556
297,297,556
298,298,552
299,299,552
300,300,572
301,301,572
302,302,568
303,303,568
304,304,556
305,305,556
306,306,552
307,307,552
308,308,572
309,309,572
310,310,568
311,311,568
312,312,556
313,313,556
314,314,556
315,315,556
316,316,572
317,317,572
318,318,572
319,319,572
320,320,0
321,321,0
322,322,0
323,323,0
324,324,528
325,325,528
326,326,528
327,327,528
328,328,4
329,329,4
330,330,0
331,331,0
332,332,532
333,333,532
334,334,528
335,335,528
336,336,12
337,337,12
338,338,8
339,339,8
340,340,540
341,341,540
342,342,536
343,343,536
344,344,12
345,345,12
346,346,12
347,347,12
348,348,540
349,349,540
350,350,540
351,351,540
352,352,552
353,353,552
354,354,552
355,355,552
356,356,568
357,357,568
358,358,568
359,359,568
360,360,556
361,361,556
362,362,552
363,363,552
364,364,572
365,365,572
366,366,568
367,367,568
368,368,556
369,369,556
370,370,552
371,371,552
372,372,572
373,373,572
374,374,568
375,375,568
376,376,556
377,377,556
378,378,556
379,379,556
380,380,572
381,381,572
382,382,572
383,383,572
384,384,64
385,385,64
386,386,64
387,387,64
388,388,592
389,389,592
390,390,592
391,391,592
392,392,68
393,393,68
394,394,64
395,395,64
396,396,596
397,397,596
398,398,592
399,399,592
400,400,76
401,401,76
402,402,72
403,403,72
404,404,604
405,405,604
406,406,600
407,407,600
408,408,76
409,409,76
410,410,76
411,411,76
412,412,604
413,413,604
414,414,604
415,415,604
416,416,552
417,417,552
418,418,552
419,419,552
420,420,568
421,421,568
422,422,568
423,423,568
424,424,556
425,425,556
426,426,552
427,427,552
428,428,572
429,429,572
430,430,568
431,431,568
432,432,556
433,433,556
434,434,552
435,435,552
436,436,572
437,437,572
438,438,568
439,439,568
440,440,556
441,441,556
442,442,556
443,443,556
444,444,572
445,445,572
446,446,572
447,447,572
448,448,64
449,449,64
450,450,64
451,451,64
452,452,592
453,453,592
454,454,592
455,455,592
456,456,68
457,457,68
458,458,64
459,459,64
460,460,596
461,461,596
462,462,592
463,463,592
464,464,76
465,465,76
466,466,72
467,467,72
468,468,604
469,469,604
470,470,600
471,471,600
472,472,76
473,473,76
474,474,76
475,475,76
476,476,604
477,477,604
478,478,604
479,479,604
480,480,552
481,481,552
482,482,552
483,483,552
484,484,568
485,485,568
486,486,568
487,487,568
488,488,556
489,489,556
490,490,552
491,491,552
492,492,572
493,493,572
494,494,568
495,495,568
496,496,556
497,497,556
498,498,552
499,499,552
500,500,572
501,501,572
502,502,568
503,503,568
504,504,556
505,505,556
506,506,556
507,507,556
508,508,572
509,509,572
510,510,572
511,511,572
512,512,0
513,513,0
514,514,0
515,515,0
516,516,528
517,517,528
518,518,528
519,519,528
520,520,4
521,521,4
522,522,0
523,523,0
524,524,532
525,525,532
526,526,528
527,527,528
528,528,12
529,529,12
530,530,8
531,531,8
532,532,540
533,533,540
534,534,536
535,535,536
536,536,12
537,537,12
538,538,12
539,539,12
540,540,540
541,541,540
542,542,540
543,543,540
544,544,552
545,545,552
546,546,552
547,547,552
548,548,568
549,549,568
550,550,568
551,551,568
552,552,556
553,553,556
554,554,552
555,555,552
556,556,572
557,557,572
558,558,568
559,559,568
560,560,556
561,561,556
562,562,552
563,563,552
564,564,572
565,565,572
566,566,568
567,567,568
568,568,556
569,569,556
570,570,556
571,571,556
572,572,572
573,573,572
574,574,572
575,575,572
576,576,0
577,577,0
578,578,0
579,579,0
580,580,528
581,581,528
582,582,528
583,583,528
584,584,4
585,585,4
586,586,0
587,587,0
588,588,532
589,589,532
590,590,528
591,591,528
592,592,12
593,593,12
594,594,8
595,595,8
596,596,540
597,597,540
598,598,536
599,599,536
600,600,12
601,601,12
602,602,12
603,603,12
604,604,540
605,605,540
606,606,540
607,607,540
608,608,552
609,609,552
610,610,552
611,611,552
612,612,568
613,613,568
614,614,568
615,615,568
616,616,556
617,617,556
618,618,552
619,619,552
620,620,572
621,621,572
622,622,568
623,623,568
624,624,556
625,625,556
626,626,552
627,627,552
628,628,572
629,629,572
630,630,568
631,631,568
632,632,556
633,633,556
634,634,556
635,635,556
636,636,572
637,637,572
638,638,572
639,639,572
