,0,1,2
0,0,0,0
1,1,0,0
2,2,0,0
3,3,0,0
4,4,528,540
5,5,528,540
6,6,528,540
7,7,528,540
8,8,4,540
9,9,4,540
10,10,0,0
11,11,0,0
12,12,532,540
13,13,532,540
14,14,528,540
15,15,528,540
16,16,12,540
17,17,12,540
18,18,8,540
19,19,8,540
20,20,540,540
21,21,540,540
22,22,536,540
23,23,536,540
24,24,12,540
25,25,12,540
26,26,12,540
27,27,12,540
28,28,540,540
29,29,540,540
30,30,540,540
31,31,540,540
32,32,552,572
33,33,552,572
34,34,552,572
35,35,552,572
36,36,568,572
37,37,568,572
38,38,568,572
39,39,568,572
40,40,556,572
41,41,556,572
42,42,552,572
43,43,552,572
44,44,572,572
45,45,572,572
46,46,568,572
47,47,568,572
48,48,556,572
49,49,556,572
50,50,552,572
51,51,552,572
52,52,572,572
53,53,572,572
54,54,568,572
55,55,568,572
56,56,556,572
57,57,556,572
58,58,556,572
59,59,556,572
60,60,572,572
61,61,572,572
62,62,572,572
63,63,572,572
64,64,0,0
65,65,0,0
66,66,0,0
67,67,0,0
68,68,528,540
69,69,528,540
70,70,528,540
71,71,528,540
72,72,4,540
73,73,4,540
74,74,0,0
75,75,0,0
76,76,532,540
77,77,532,540
78,78,528,540
79,79,528,540
80,80,12,540
81,81,12,540
82,82,8,540
83,83,8,540
84,84,540,540
85,85,540,540
86,86,536,540
87,87,536,540
88,88,12,540
89,89,12,540
90,90,12,540
91,91,12,540
92,92,540,540
93,93,540,540
94,94,540,540
95,95,540,540
96,96,552,572
97,97,552,572
98,98,552,572
99,99,552,572
100,100,568,572
101,101,568,572
102,102,568,572
103,103,568,572
104,104,556,572
105,105,556,572
106,106,552,572
107,107,552,572
108,108,572,572
109,109,572,572
110,110,568,572
111,111,568,572
112,112,556,572
113,113,556,572
114,114,552,572
115,115,552,572
116,116,572,572
117,117,572,572
118,118,568,572
119,119,568,572
120,120,556,572
121,121,556,572
122,122,556,572
123,123,556,572
124,124,572,572
125,125,572,572
126,126,572,572
127,127,572,572
128,128,64,0
129,129,64,0
130,130,64,0
131,131,64,0
132,132,592,540
133,133,592,540
134,134,592,540
135,135,592,540
136,136,68,540
137,137,68,540
138,138,64,0
139,139,64,0
140,140,596,540
141,141,596,540
142,142,592,540
143,143,592,540
144,144,76,540
145,145,76,540
146,146,72,540
147,147,72,540
148,148,604,540
149,149,604,540
150,150,600,540
151,151,600,540
152,152,76,540
153,153,76,540
154,154,76,540
155,155,76,540
156,156,604,540
157,157,604,540
158,158,604,540
159,159,604,540
160,160,552,572
161,161,552,572
162,162,552,572
163,163,552,572
164,164,568,572
165,165,568,572
166,166,568,572
167,167,568,572
168,168,556,572
169,169,556,572
170,170,552,572
171,171,552,572
172,172,572,572
173,173,572,572
174,174,568,572
175,175,568,572
176,176,556,572
177,177,556,572
178,178,552,572
179,179,552,572
180,180,572,572
181,181,572,572
182,182,568,572
183,183,568,572
184,184,556,572
185,185,556,572
186,186,556,572
187,187,556,572
188,188,572,572
189,189,572,572
190,190,572,572
191,191,572,572
192,192,64,0
193,193,64,0
194,194,64,0
195,195,64,0
196,196,592,540
197,197,592,540
198,198,592,540
199,199,592,540
200,200,68,540
201,201,68,540
202,202,64,0
203,203,64,0
204,204,596,540
205,205,596,540
206,206,592,540
207,207,592,540
208,208,76,540
209,209,76,540
210,210,72,540
211,211,72,540
212,212,604,540
213,213,604,540
214,214,600,540
215,215,600,540
216,216,76,540
217,217,76,540
218,218,76,540
219,219,76,540
220,220,604,540
221,221,604,540
222,222,604,540
223,223,604,540
224,224,552,572
225,225,552,572
226,226,552,572
227,227,552,572
228,228,568,572
229,229,568,572
230,230,568,572
231,231,568,572
232,232,556,572
233,233,556,572
234,234,552,572
235,235,552,572
236,236,572,572
237,237,572,572
238,238,568,572
239,239,568,572
240,240,556,572
241,241,556,572
242,242,552,572
243,243,552,572
244,244,572,572
245,245,572,572
246,246,568,572
247,247,568,572
248,248,556,572
249,249,556,572
250,250,556,572
251,251,556,572
252,252,572,572
253,253,572,572
254,254,572,572
255,255,572,572
256,256,0,0
257,257,0,0
258,258,0,0
259,259,0,0
260,260,528,540
261,261,528,540
262,262,528,540
263,263,528,540
264,264,4,540
265,265,4,540
266,266,0,0
267,267,0,0
268,268,532,540
269,269,532,540
270,270,528,540
271,271,528,540
272,272,12,540
273,273,12,540
274,274,8,540
275,275,8,540
276,276,540,540
277,277,540,540
278,278,536,540
279,279,536,540
280,280,12,540
281,281,12,540
282,282,12,540
283,283,12,540
284,284,540,540
285,285,540,540
286,286,540,540
287,287,540,540
288,288,552,572
289,289,552,572
290,290,552,572
291,291,552,572
292,292,568,572
293,293,568,572
294,294,568,572
295,295,568,572
296,296,556,572
297,297,556,572
298,298,552,572
299,299,552,572
300,300,572,572
301,301,572,572
302,302,568,572
303,303,568,572
304,304,556,572
305,305,556,572
306,306,552,572
307,307,552,572
308,308,572,572
309,309,572,572
310,310,568,572
311,311,568,572
312,312,556,572
313,313,556,572
314,314,556,572
315,315,556,572
316,316,572,572
317,317,572,572
318,318,572,572
319,319,572,572
320,320,0,0
321,321,0,0
322,322,0,0
323,323,0,0
324,324,528,540
325,325,528,540
326,326,528,540
327,327,528,540
328,328,4,540
329,329,4,540
330,330,0,0
331,331,0,0
332,332,532,540
333,333,532,540
334,334,528,540
335,335,528,540
336,336,12,540
337,337,12,540
338,338,8,540
339,339,8,540
340,340,540,540
341,341,540,540
342,342,536,540
343,343,536,540
344,344,12,540
345,345,12,540
346,346,12,540
347,347,12,540
348,348,540,540
349,349,540,540
350,350,540,540
351,351,540,540
352,352,552,572
353,353,552,572
354,354,552,572
355,355,552,572
356,356,568,572
357,357,568,572
358,358,568,572
359,359,568,572
360,360,556,572
361,361,556,572
362,362,552,572
363,363,552,572
364,364,572,572
365,365,572,572
366,366,568,572
367,367,568,572
368,368,556,572
369,369,556,572
370,370,552,572
371,371,552,572
372,372,572,572
373,373,572,572
374,374,568,572
375,375,568,572
376,376,556,572
377,377,556,572
378,378,556,572
379,379,556,572
380,380,572,572
381,381,572,572
382,382,572,572
383,383,572,572
384,384,64,0
385,385,64,0
386,386,64,0
387,387,64,0
388,388,592,540
389,389,592,540
390,390,592,540
391,391,592,540
392,392,68,540
393,393,68,540
394,394,64,0
395,395,64,0
396,396,596,540
397,397,596,540
398,398,592,540
399,399,592,540
400,400,76,540
401,401,76,540
402,402,72,540
403,403,72,540
404,404,604,540
405,405,604,540
406,406,600,540
407,407,600,540
408,408,76,540
409,409,76,540
410,410,76,540
411,411,76,540
412,412,604,540
413,413,604,540
414,414,604,540
415,415,604,540
416,416,552,572
417,417,552,572
418,418,552,572
419,419,552,572
420,420,568,572
421,421,568,572
422,422,568,572
423,423,568,572
424,424,556,572
425,425,556,572
426,426,552,572
427,427,552,572
428,428,572,572
429,429,572,572
430,430,568,572
431,431,568,572
432,432,556,572
433,433,556,572
434,434,552,572
435,435,552,572
436,436,572,572
437,437,572,572
438,438,568,572
439,439,568,572
440,440,556,572
441,441,556,572
442,442,556,572
443,443,556,572
444,444,572,572
445,445,572,572
446,446,572,572
447,447,572,572
448,448,64,0
449,449,64,0
450,450,64,0
451,451,64,0
452,452,592,540
453,453,592,540
454,454,592,540
455,455,592,540
456,456,68,540
457,457,68,540
458,458,64,0
459,459,64,0
460,460,596,540
461,461,596,540
462,462,592,540
463,463,592,540
464,464,76,540
465,465,76,540
466,466,72,540
467,467,72,540
468,468,604,540
469,469,604,540
470,470,600,540
471,471,600,540
472,472,76,540
473,473,76,540
474,474,76,540
475,475,76,540
476,476,604,540
477,477,604,540
478,478,604,540
479,479,604,540
480,480,552,572
481,481,552,572
482,482,552,572
483,483,552,572
484,484,568,572
485,485,568,572
486,486,568,572
487,487,568,572
488,488,556,572
489,489,556,572
490,490,552,572
491,491,552,572
492,492,572,572
493,493,572,572
494,494,568,572
495,495,568,572
496,496,556,572
497,497,556,572
498,498,552,572
499,499,552,572
500,500,572,572
501,501,572,572
502,502,568,572
503,503,568,572
504,504,556,572
505,505,556,572
506,506,556,572
507,507,556,572
508,508,572,572
509,509,572,572
510,510,572,572
511,511,572,572
512,512,0,0
513,513,0,0
514,514,0,0
515,515,0,0
516,516,528,540
517,517,528,540
518,518,528,540
519,519,528,540
520,520,4,540
521,521,4,540
522,522,0,0
523,523,0,0
524,524,532,540
525,525,532,540
526,526,528,540
527,527,528,540
528,528,12,540
529,529,12,540
530,530,8,540
531,531,8,540
532,532,540,540
533,533,540,540
534,534,536,540
535,535,536,540
536,536,12,540
537,537,12,540
538,538,12,540
539,539,12,540
540,540,540,540
541,541,540,540
542,542,540,540
543,543,540,540
544,544,552,572
545,545,552,572
546,546,552,572
547,547,552,572
548,548,568,572
549,549,568,572
550,550,568,572
551,551,568,572
552,552,556,572
553,553,556,572
554,554,552,572
555,555,552,572
556,556,572,572
557,557,572,572
558,558,568,572
559,559,568,572
560,560,556,572
561,561,556,572
562,562,552,572
563,563,552,572
564,564,572,572
565,565,572,572
566,566,568,572
567,567,568,572
568,568,556,572
569,569,556,572
570,570,556,572
571,571,556,572
572,572,572,572
573,573,572,572
574,574,572,572
575,575,572,572
576,576,0,0
577,577,0,0
578,578,0,0
579,579,0,0
580,580,528,540
581,581,528,540
582,582,528,540
583,583,528,540
584,584,4,540
585,585,4,540
586,586,0,0
587,587,0,0
588,588,532,540
589,589,532,540
590,590,528,540
591,591,528,540
592,592,12,540
593,593,12,540
594,594,8,540
595,595,8,540
596,596,540,540
597,597,540,540
598,598,536,540
599,599,536,540
600,600,12,540
601,601,12,540
602,602,12,540
603,603,12,540
604,604,540,540
605,605,540,540
606,606,540,540
607,607,540,540
608,608,552,572
609,609,552,572
610,610,552,572
611,611,552,572
612,612,568,572
613,613,568,572
614,614,568,572
615,615,568,572
616,616,556,572
617,617,556,572
618,618,552,572
619,619,552,572
620,620,572,572
621,621,572,572
622,622,568,572
623,623,568,572
624,624,556,572
625,625,556,572
626,626,552,572
627,627,552,572
628,628,572,572
629,629,572,572
630,630,568,572
631,631,568,572
632,632,556,572
633,633,556,572
634,634,556,572
635,635,556,572
636,636,572,572
637,637,572,572
638,638,572,572
639,639,572,572
640,640,64,0
641,641,64,0
642,642,64,0
643,643,64,0
644,644,592,540
645,645,592,540
646,646,592,540
647,647,592,540
648,648,68,540
649,649,68,540
650,650,64,0
651,651,64,0
652,652,596,540
653,653,596,540
654,654,592,540
655,655,592,540
656,656,76,540
657,657,76,540
658,658,72,540
659,659,72,540
660,660,604,540
661,661,604,540
662,662,600,540
663,663,600,540
664,664,76,540
665,665,76,540
666,666,76,540
667,667,76,540
668,668,604,540
669,669,604,540
670,670,604,540
671,671,604,540
672,672,552,572
673,673,552,572
674,674,552,572
675,675,552,572
676,676,568,572
677,677,568,572
678,678,568,572
679,679,568,572
680,680,556,572
681,681,556,572
682,682,552,572
683,683,552,572
684,684,572,572
